system,split,configs,num_performances,performances,sdc_avg,sdc_std,best_avg,best_std,average_avg,average_std,overall_avg,overall_std,metric_avg,metric_std,common_avg,common_std,random_avg,random_std
nodejs,0,0,1,ops,0.26181558468488425,0.3211141776519493,0.0,0.0,0.5331540352308736,0.11172654042315297,0.2619571159829772,0.3012680231835344,0.2619571159829772,0.3012680231835344,0.2425275168710979,0.30299394345631153,0.5554616526842393,0.40234488334480667
nodejs,1,0,1,ops,0.2399653362378246,0.2910264408076645,0.0,0.0,0.5330187937598028,0.13035352536195233,0.2985304152905879,0.3256088685075878,0.2985304152905879,0.3256088685075878,0.24781480512153597,0.30695004386282754,0.5753646830363492,0.392494610184316
nodejs,2,0,1,ops,0.233711706417392,0.2932590130538261,0.0,0.0,0.5399540164744936,0.12288778553183073,0.3088971605376047,0.3321026972230864,0.3088971605376047,0.3321026972230864,0.25763261099711554,0.30680153331244886,0.474879462417886,0.39906021887266124
nodejs,3,0,1,ops,0.22174541384476534,0.28036931879171695,0.0,0.0,0.5273884039000396,0.12496216644591582,0.7589527571649824,0.3232547127686903,0.7589527571649824,0.3232547127686903,0.2440423099836086,0.2968489119549203,0.46102620120749116,0.3945590910110161
nodejs,4,0,1,ops,0.23951284173866016,0.2863105443164776,0.0,0.0,0.5315063241082545,0.1260327759082637,0.752239800095704,0.3272596022661982,0.752239800095704,0.3272596022661982,0.264132517303045,0.30984210393269795,0.6257091209018001,0.38254801470858596
nodejs,0,0,1,ops,0.26181558468488425,0.3211141776519493,0.0,0.0,0.5331540352308736,0.11172654042315297,0.2619571159829772,0.3012680231835344,0.2619571159829772,0.3012680231835344,0.2425275168710979,0.30299394345631153,0.46206933985665916,0.39901191876273356
nodejs,1,0,1,ops,0.2399653362378246,0.2910264408076645,0.0,0.0,0.5330187937598028,0.13035352536195233,0.2985304152905879,0.3256088685075878,0.2985304152905879,0.3256088685075878,0.24781480512153597,0.30695004386282754,0.508135548896979,0.3952903911371167
nodejs,2,0,1,ops,0.233711706417392,0.2932590130538261,0.0,0.0,0.5399540164744936,0.12288778553183073,0.3088971605376047,0.3321026972230864,0.3088971605376047,0.3321026972230864,0.25763261099711554,0.30680153331244886,0.7188162644533894,0.34992552109633834
nodejs,3,0,1,ops,0.22174541384476534,0.28036931879171695,0.0,0.0,0.5273884039000396,0.12496216644591582,0.7589527571649824,0.3232547127686903,0.7589527571649824,0.3232547127686903,0.2440423099836086,0.2968489119549203,0.5088805491323941,0.3994514393112232
nodejs,4,0,1,ops,0.23951284173866016,0.2863105443164776,0.0,0.0,0.5315063241082545,0.1260327759082637,0.752239800095704,0.3272596022661982,0.752239800095704,0.3272596022661982,0.264132517303045,0.30984210393269795,0.4229495029974501,0.38271679907519274
poppler,0,0,1,size,0.2357819887009142,0.40304707974476434,0.0,0.0,0.46480971443497704,0.06756615056373531,0.34977448063966415,0.4401532678391564,0.34977448063966415,0.4401532678391564,0.34977448063966415,0.4401532678391564,0.4289249759322422,0.4614947034534934
poppler,1,0,1,size,0.21784726767873774,0.38450145617177883,0.0,0.0,0.4636408257957969,0.06863531552838668,0.32332458698507094,0.4305946882708381,0.32332458698507094,0.4305946882708381,0.32332458698507094,0.4305946882708381,0.5094575577357602,0.4585836337379546
poppler,2,0,1,size,0.23158765063793751,0.3954470763977046,0.0,0.0,0.46592280301584427,0.06268903148239646,0.30855389371089004,0.43703270702684677,0.30855389371089004,0.43703270702684677,0.30855389371089004,0.43703270702684677,0.5055796445915164,0.45213100606909007
poppler,3,0,1,size,0.21170010197891867,0.3855783407290584,0.0,0.0,0.4564840029280949,0.07108873751644618,0.29546630406727653,0.420415720416426,0.29546630406727653,0.420415720416426,0.29546630406727653,0.420415720416426,0.37414588099873,0.44885853720015956
poppler,4,0,1,size,0.2622502424385617,0.41677318760879023,0.0,0.0,0.4695328434968059,0.07106475756140236,0.3361824470706856,0.4414220192477327,0.3361824470706856,0.4414220192477327,0.3361824470706856,0.4414220192477327,0.44508035170646554,0.45766269651463537
poppler,0,0,1,time,0.07371528787017378,0.16138983587026456,0.0,0.0,0.37683499300235207,0.11755005248322573,0.3151473834656952,0.381043049205871,0.3151473834656952,0.381043049205871,0.3151473834656952,0.381043049205871,0.3625692645473925,0.4118358691542917
poppler,1,0,1,time,0.07685872571898808,0.16889844634334938,0.0,0.0,0.38527191768065927,0.125678201077111,0.3450795493754939,0.3983332066764994,0.3450795493754939,0.3983332066764994,0.3450795493754939,0.3983332066764994,0.4230101697391688,0.4092386693201905
poppler,2,0,1,time,0.0710237405354812,0.1621119793815686,0.0,0.0,0.38539869932455445,0.1165442238263652,0.3065708500476586,0.36613470349754074,0.3065708500476586,0.36613470349754074,0.3065708500476586,0.36613470349754074,0.41588794180741273,0.4228663055035547
poppler,3,0,1,time,0.07954399387457353,0.17559907157392815,0.0,0.0,0.3919473693054783,0.11611293700654628,0.26961189395454066,0.3445342155916098,0.26961189395454066,0.3445342155916098,0.26961189395454066,0.3445342155916098,0.3581709911295566,0.4045367328579031
poppler,4,0,1,time,0.08118312126900294,0.15789724741065686,0.0,0.0,0.3864215534924915,0.11526242019701216,0.3094837240141773,0.38423051369465916,0.3094837240141773,0.38423051369465916,0.3094837240141773,0.38423051369465916,0.39708047478865316,0.4051980464675562
poppler,0,0,1,size,0.2357819887009142,0.40304707974476434,0.0,0.0,0.46480971443497704,0.06756615056373531,0.34977448063966415,0.4401532678391564,0.34977448063966415,0.4401532678391564,0.34977448063966415,0.4401532678391564,0.4288843216057072,0.4627384014717285
poppler,1,0,1,size,0.21784726767873774,0.38450145617177883,0.0,0.0,0.4636408257957969,0.06863531552838668,0.32332458698507094,0.4305946882708381,0.32332458698507094,0.4305946882708381,0.32332458698507094,0.4305946882708381,0.4084291503581495,0.4463212580355786
poppler,2,0,1,size,0.23158765063793751,0.3954470763977046,0.0,0.0,0.46592280301584427,0.06268903148239646,0.30855389371089004,0.43703270702684677,0.30855389371089004,0.43703270702684677,0.30855389371089004,0.43703270702684677,0.5340617440857133,0.44777392321352544
poppler,3,0,1,size,0.21170010197891867,0.3855783407290584,0.0,0.0,0.4564840029280949,0.07108873751644618,0.29546630406727653,0.420415720416426,0.29546630406727653,0.420415720416426,0.29546630406727653,0.420415720416426,0.4035155793227541,0.45730560784695995
poppler,4,0,1,size,0.2622502424385617,0.41677318760879023,0.0,0.0,0.4695328434968059,0.07106475756140236,0.3361824470706856,0.4414220192477327,0.3361824470706856,0.4414220192477327,0.3361824470706856,0.4414220192477327,0.4675423037493935,0.4517233035100263
poppler,0,0,2,size-time,0.37379831146171927,0.4275351300117231,0.25741095421202925,0.3553733898410475,0.669721508966966,0.1886979381991126,0.5293161282960989,0.4290123898701945,0.5293161282960989,0.4290123898701945,0.5293161282960989,0.4290123898701945,0.6448612969441788,0.4110835072830353
poppler,1,0,2,size-time,0.3832709787980932,0.4268720703575583,0.24039740543060026,0.34660961025338005,0.6692269120310521,0.18364747948108423,0.55043256847054,0.4287375627561483,0.55043256847054,0.4287375627561483,0.55043256847054,0.4287375627561483,0.7279303960634091,0.3775406810198563
poppler,2,0,2,size-time,0.37630933602907635,0.4322309025741111,0.26000491549016946,0.3717524626077383,0.6769533982903464,0.1905904315141123,0.5213227583521352,0.4329473785969319,0.5213227583521352,0.4329473785969319,0.5213227583521352,0.4329473785969319,0.74084080798753,0.3785225358897736
poppler,3,0,2,size-time,0.35927760433061323,0.4208559240052552,0.2287372097076808,0.346735206197238,0.658043747817658,0.18474985920605635,0.4625726508981201,0.41840103286531294,0.4625726508981201,0.41840103286531294,0.4625726508981201,0.41840103286531294,0.6404365721777077,0.42394877584042095
poppler,4,0,2,size-time,0.38825745777121584,0.42931065825900294,0.25156686495206515,0.35362644196919313,0.6778651177488219,0.1853758120628512,0.5276135031129029,0.44069041780173246,0.5276135031129029,0.44069041780173246,0.5276135031129029,0.44069041780173246,0.6625927799079225,0.4078039499543187
sqlite,0,0,1,q8,0.0034600525309894767,0.005113902983745967,0.0,0.0,0.43186705264291986,0.016160329648335508,0.052394150513354824,0.09560925438817343,0.052394150513354824,0.09560925438817343,0.9291066451955678,0.03410331611038638,0.27267390969994265,0.3908162553217179
sqlite,1,0,1,q8,0.006419918466535984,0.016355836768638294,0.0,0.0,0.4296346572841748,0.014908827737290489,0.05429149198023266,0.09584266313818943,0.05429149198023266,0.09584266313818943,0.9188204650718583,0.045066791879097144,0.3665756486656612,0.4324107030477006
sqlite,2,0,1,q8,0.004550848115010495,0.009464395671321502,0.0,0.0,0.42608743606042115,0.015454266262915345,0.09949442340412068,0.11309032130924715,0.09949442340412068,0.11309032130924715,0.9328308809979069,0.04271939293727482,0.41298230848792783,0.4398084804671816
sqlite,3,0,1,q8,0.004733080324101542,0.006485853492170783,0.0,0.0,0.4317546982484867,0.011914463222158318,0.03760384170275271,0.08255241557881023,0.03760384170275271,0.08255241557881023,0.922878616620508,0.03681751534848665,0.47126603526548805,0.4481158193023373
sqlite,4,0,1,q8,0.0026489391409259,0.003233910779441497,0.0,0.0,0.4281821165982626,0.014953153822510099,0.08112050045303164,0.10960075514539146,0.08112050045303164,0.10960075514539146,0.9257163525847095,0.03359763746051352,0.47294043238219385,0.43838303906057347
sqlite,0,0,1,q10,0.007457366118584531,0.007558697177504755,0.0,0.0,0.4612492366410928,0.04436736637150805,0.11965608003366052,0.21592514368391932,0.11965608003366052,0.21592514368391932,0.9351748213333179,0.03698394471902571,0.49236864467777475,0.4387548210152953
sqlite,1,0,1,q10,0.01509812019094928,0.019326311838733005,0.0,0.0,0.4577146366817444,0.05034655966726947,0.9163479374802891,0.053259429376719694,0.9163479374802891,0.053259429376719694,0.9114958716211973,0.06280733510026963,0.6512915349042026,0.39679653781629187
sqlite,2,0,1,q10,0.0052393884371189706,0.012125466529732539,0.0,0.0,0.4774507979600163,0.05884812291044376,0.2226430646087835,0.2545614151474223,0.2226430646087835,0.2545614151474223,0.9358726940350349,0.04913692961252233,0.44975172790975276,0.4117532109762465
sqlite,3,0,1,q10,0.01210405331987437,0.011550581862452971,0.0,0.0,0.4571076295891394,0.04020124176690587,0.09092253529551408,0.1856240585552156,0.09092253529551408,0.1856240585552156,0.9308859514682822,0.04151223556418976,0.43576302973429637,0.44359344609866475
sqlite,4,0,1,q10,0.01369637490464951,0.02704079884382942,0.0,0.0,0.4736256413465027,0.05428721316130994,0.1807679039269412,0.25146861809545956,0.1807679039269412,0.25146861809545956,0.924540597669108,0.04776512570875642,0.6752581890645496,0.3915405985315221
sqlite,0,0,1,q2,0.03487687050858162,0.04016476011778708,0.0,0.0,0.3657886847509003,0.19153342707313895,0.22231731789520168,0.3810930865637968,0.22231731789520168,0.3810930865637968,0.26730660105488163,0.3720479156916668,0.4923132340217826,0.45626521786151136
sqlite,1,0,1,q2,0.027483441066050295,0.0479834607170599,0.0,0.0,0.3719716354893408,0.19021475204723484,0.22849077856292632,0.3792771015814222,0.22849077856292632,0.3792771015814222,0.28071053252564226,0.3714982964679185,0.3627156366964136,0.4342559898223406
sqlite,2,0,1,q2,0.0330683205631669,0.038225226112981035,0.0,0.0,0.45153890103759764,0.22650135734182644,0.3892746371761214,0.45422869778413894,0.3892746371761214,0.45422869778413894,0.4396228601352661,0.43534879757485506,0.4743787438338359,0.45333249704715745
sqlite,3,0,1,q2,0.042852467523659475,0.033004736847638425,0.0,0.0,0.3379626180409144,0.16257373475010334,0.16799564423140903,0.3212874447892478,0.16799564423140903,0.3212874447892478,0.21249174570533366,0.3205921799090112,0.3705173819271959,0.4298470141992336
sqlite,4,0,1,q2,0.03303854255544142,0.04151224439015858,0.0,0.0,0.42495967430281156,0.2161836327092262,0.3420529274079381,0.42877564911299665,0.3420529274079381,0.42877564911299665,0.38707683773073537,0.4207296204368566,0.4766696245589027,0.4572124798104922
sqlite,0,0,1,q13,0.010370245452453125,0.01241156973039086,0.0,0.0,0.4096918212809713,0.11757387381510152,0.16618091079283917,0.29570628587375586,0.16618091079283917,0.29570628587375586,0.5883309488937882,0.20282956040690103,0.40541150917843616,0.32379820706087226
sqlite,1,0,1,q13,0.01299710922521915,0.01706489398589017,0.0,0.0,0.418655050657608,0.12381740399477942,0.17851361144145508,0.30872017231884774,0.17851361144145508,0.30872017231884774,0.6188924266357104,0.198672892088741,0.35757967610569513,0.3803630427904597
sqlite,2,0,1,q13,0.013641273277430739,0.024338003741962638,0.0,0.0,0.47051277265658914,0.14743267210315839,0.3104050003086382,0.3670792208759525,0.3104050003086382,0.3670792208759525,0.6952583687150058,0.23946592439193595,0.4799711371898938,0.3889368795917019
sqlite,3,0,1,q13,0.024363795212445895,0.029237139025059616,0.0,0.0,0.3954695493711466,0.10132701509681222,0.1257129331779011,0.2520820175480946,0.1257129331779011,0.2520820175480946,0.571152013988718,0.17455015661397508,0.4577292663946525,0.3957401486664766
sqlite,4,0,1,q13,0.017602844879818478,0.043372436178001426,0.0,0.0,0.4483570631063022,0.13730771051072935,0.2585081622680537,0.34147236597001934,0.2585081622680537,0.34147236597001934,0.6691542880182028,0.22616172936333176,0.48571508726114876,0.3783206526359612
sqlite,0,0,1,q5,0.08057631284503444,0.1024282947183845,0.0,0.0,0.47705457283307284,0.20376658433338282,0.4688067835278366,0.37920547861903875,0.4688067835278366,0.37920547861903875,0.5627476351228013,0.3484633377363474,0.4335562454341627,0.371955923541716
sqlite,1,0,1,q5,0.12927574065130062,0.16722545818369844,0.0,0.0,0.48021298676631424,0.1751909761082714,0.5372928450760217,0.3555133475900631,0.5372928450760217,0.3555133475900631,0.5219877771019715,0.3164387504525426,0.46288621738971814,0.359727486037985
sqlite,2,0,1,q5,0.08502649195133728,0.13570203637803935,0.0,0.0,0.5376424050655714,0.19524330002912996,0.5741506349631144,0.4045437356120451,0.5741506349631144,0.4045437356120451,0.6579450000656756,0.3402963582105083,0.4694522781036971,0.38905626168648755
sqlite,3,0,1,q5,0.13005715187893252,0.13647214770389507,0.0,0.0,0.4661194268602782,0.16012082455911408,0.5374913013195102,0.2903116549842405,0.5374913013195102,0.2903116549842405,0.5366383325754506,0.29770018205309395,0.47796262073660634,0.3382238879138162
sqlite,4,0,1,q5,0.11207937337745018,0.14920396979410228,0.0,0.0,0.5177674843838135,0.18788217390532436,0.5812351720844173,0.34054191700056785,0.5812351720844173,0.34054191700056785,0.5630286137753577,0.3477585021778281,0.5142945681989904,0.3774016142036927
sqlite,0,0,1,q7,0.14430742336259808,0.14818381766244745,0.0,0.0,0.4331207347830378,0.16719956419695592,0.3787669540172654,0.34301466279873394,0.3787669540172654,0.34301466279873394,0.32645392269029505,0.3549988815205282,0.5105983012461016,0.36444074082222494
sqlite,1,0,1,q7,0.11734299673924846,0.12130847375411898,0.0,0.0,0.4412283247802331,0.16096558399543648,0.4277383539667479,0.33450241809278114,0.4277383539667479,0.33450241809278114,0.38847909187854823,0.34622256574490684,0.45452171719001166,0.3382093636401707
sqlite,2,0,1,q7,0.10039404986520131,0.1272951802729645,0.0,0.0,0.504547979038068,0.19789505964560247,0.5193506274857902,0.39031092542042695,0.5193506274857902,0.39031092542042695,0.4992815696448988,0.4074921263586745,0.4921154476360053,0.40080282797053113
sqlite,3,0,1,q7,0.13143838789858717,0.11891197324873813,0.0,0.0,0.4263666421694795,0.14552977682456059,0.34828654528056613,0.3018058749120772,0.34828654528056613,0.3018058749120772,0.34828654528056613,0.3018058749120772,0.4755619483396065,0.3291396294269516
sqlite,4,0,1,q7,0.1030346896129342,0.13730560752659934,0.0,0.0,0.4798430969583873,0.19091402277059463,0.44685749963741,0.39348735101027316,0.44685749963741,0.39348735101027316,0.44685749963741,0.39348735101027316,0.458454318565838,0.3874738772685669
sqlite,0,0,1,q1,0.15434847148820605,0.2175661199546548,0.0,0.0,0.40904934718616265,0.16328084050015174,0.598202771945923,0.34524915374432624,0.598202771945923,0.34524915374432624,0.40045972762328524,0.305548190359066,0.40443839148491995,0.33925748557408897
sqlite,1,0,1,q1,0.14419182727963176,0.12832889942453649,0.0,0.0,0.40639979199808385,0.18001485811053314,0.5446439620803273,0.31891133091479007,0.5446439620803273,0.31891133091479007,0.47033921044661947,0.31973402532451917,0.41391860170993117,0.3519386327414736
sqlite,2,0,1,q1,0.08887668189367798,0.10492034396762846,0.0,0.0,0.48954757023336526,0.19874650079755474,0.44940041350590454,0.3758577099613252,0.44940041350590454,0.3758577099613252,0.6037012113422264,0.3443278262110888,0.4679083168468304,0.3823835555052171
sqlite,3,0,1,q1,0.1322786143392859,0.15394464675142597,0.0,0.0,0.3813573553306346,0.15180618490337264,0.30629581115713317,0.30579781658870014,0.30629581115713317,0.30579781658870014,0.35871708532480767,0.2873014105272875,0.4069085821419834,0.34226399371284455
sqlite,4,0,1,q1,0.11813905234970763,0.18274744423489978,0.0,0.0,0.46251636086037795,0.1931147500512053,0.45151226166347574,0.3744910443200706,0.45151226166347574,0.3744910443200706,0.5614552793203458,0.3262902548311729,0.4896284392912992,0.3558150397842791
sqlite,0,0,1,q3,0.048286052166636,0.06103332306913629,0.0,0.0,0.37233458984234163,0.19626143681904942,0.2780197194213207,0.3790386808362791,0.2780197194213207,0.3790386808362791,0.32976367852621635,0.35157137738061933,0.415582220227431,0.4423733607802623
sqlite,1,0,1,q3,0.06349244344725855,0.07514381760844224,0.0,0.0,0.38503561114653634,0.19286997731142314,0.32566440546378084,0.37364220645852353,0.32566440546378084,0.37364220645852353,0.3545068315521863,0.3487085844003343,0.3184068948756304,0.39117291553955974
sqlite,2,0,1,q3,0.08692917686915519,0.15152038637055484,0.0,0.0,0.46924204776922634,0.22577588913881047,0.516837293880587,0.422073834754217,0.516837293880587,0.422073834754217,0.5221189362132338,0.4101228363142778,0.46801128926176855,0.4343709476638579
sqlite,3,0,1,q3,0.05183910242036614,0.06245953007402471,0.0,0.0,0.35158732452976915,0.1633561711655997,0.20900274722391182,0.316715389559318,0.20900274722391182,0.316715389559318,0.29835928284439184,0.2986834523363845,0.2891624284112964,0.3678048642709854
sqlite,4,0,1,q3,0.07635992027073102,0.12380012139585421,0.0,0.0,0.4348806715636969,0.22437670278718763,0.5494840978283656,0.4055719507574786,0.5494840978283656,0.4055719507574786,0.4340616531364932,0.4019875436706183,0.40663355789062117,0.4350171659902348
sqlite,0,0,1,q9,0.04346883812907007,0.03999630417814782,0.0,0.0,0.3796435075902948,0.18924611020101406,0.25649150744576926,0.3755587924730408,0.25649150744576926,0.3755587924730408,0.3127060972189283,0.35748395968404334,0.3319188235400244,0.39235784560169884
sqlite,1,0,1,q9,0.05998954137403822,0.05923798494550963,0.0,0.0,0.39769718013798133,0.18448569910779458,0.33853297368082125,0.3401789854904136,0.33853297368082125,0.3401789854904136,0.33853297368082125,0.3401789854904136,0.3611753506121744,0.36420162514382226
sqlite,2,0,1,q9,0.06638605394665652,0.1172070802668139,0.0,0.0,0.4717821430063432,0.21899895184915566,0.4972845547328482,0.41517726166330243,0.4972845547328482,0.41517726166330243,0.4972845547328482,0.41517726166330243,0.4764411482206458,0.42071873142950267
sqlite,3,0,1,q9,0.06958105710032333,0.0765195666463442,0.0,0.0,0.357622564805437,0.16383219956205913,0.2750215705114756,0.3047073005166833,0.2750215705114756,0.3047073005166833,0.2750215705114756,0.3047073005166833,0.2826025831879094,0.34130738032998775
sqlite,4,0,1,q9,0.05541679558288888,0.08125708564522557,0.0,0.0,0.44853680995612527,0.21237104102636897,0.6321673014274024,0.44568864090601273,0.6321673014274024,0.44568864090601273,0.4583184554649116,0.3936692052035646,0.411506763507684,0.42955442870887545
sqlite,0,0,1,q14,0.03620092536333211,0.04706406865418344,0.0,0.0,0.37304074577906776,0.19049452956174626,0.2657753365381865,0.37524240721141844,0.2657753365381865,0.37524240721141844,0.26158168308464547,0.37010739929710745,0.3859594268302714,0.4127306259451078
sqlite,1,0,1,q14,0.05114856564406729,0.04629596476905674,0.0,0.0,0.38356996299970036,0.19118357978576847,0.27581112519109713,0.38364428190976696,0.27581112519109713,0.38364428190976696,0.3095307878457562,0.382681597670385,0.42850582941064524,0.43015651958767565
sqlite,2,0,1,q14,0.03299027939977521,0.040125082310293624,0.0,0.0,0.4554592266492252,0.2302017911890195,0.40035796747880215,0.45972570902650384,0.40035796747880215,0.45972570902650384,0.43553045268655805,0.44100001808615946,0.47435239082075487,0.4357763786179853
sqlite,3,0,1,q14,0.08813836582051066,0.11140649835767602,0.0,0.0,0.33895353504146186,0.16420228777131587,0.17777040537020675,0.3272963099591104,0.17777040537020675,0.3272963099591104,0.21645869745378887,0.31395641819725395,0.38555663473223395,0.39620141097662065
sqlite,4,0,1,q14,0.07650501286819315,0.09247882255352408,0.0,0.0,0.4354373373340255,0.21935416787367967,0.35015336933674934,0.4427068501527123,0.35015336933674934,0.4427068501527123,0.38724613292672533,0.4247591616149629,0.4530335724386288,0.4220712536626385
sqlite,0,0,1,q6,0.04706816965480921,0.04479196426839266,0.0,0.0,0.3780969105419923,0.18984463055339512,0.26532575356345656,0.3819541392415797,0.26532575356345656,0.3819541392415797,0.27513673224762397,0.38050661135725866,0.4376354108888347,0.44432652802451067
sqlite,1,0,1,q6,0.053327909664268855,0.05964260218984281,0.0,0.0,0.3760819904660001,0.19304495595369325,0.28597864931344197,0.3751332221376646,0.28597864931344197,0.3751332221376646,0.2811247580484223,0.3844620087502548,0.4169980227931609,0.43065147613825516
sqlite,2,0,1,q6,0.04999367725751135,0.07944655234460532,0.0,0.0,0.45986050733257217,0.2290557623234855,0.40869170346239936,0.4603000931847794,0.40869170346239936,0.4603000931847794,0.4534140695050574,0.4290555572889435,0.470042946551947,0.4351583139826611
sqlite,3,0,1,q6,0.07011185847984322,0.06757095205619472,0.0,0.0,0.3474208418923772,0.1620176332264333,0.19308888012242517,0.3220122411281869,0.19308888012242517,0.3220122411281869,0.21468972636029768,0.3196020059998329,0.2762530702778181,0.35554410049426793
sqlite,4,0,1,q6,0.07383229884060008,0.09662504362634908,0.0,0.0,0.4335291652086056,0.22210798643951493,0.3844899406576331,0.42747774956161627,0.3844899406576331,0.42747774956161627,0.40923403801808195,0.418910592993851,0.3999000672905237,0.42525359763699433
